,Estimate,Standard Error,Lower 95% CI,Upper 95% CI,Exponentiated
Intercept,-0.40150326863176317,0.07640658532348808,-0.5512574240474865,-0.2517491132160399,0.6693131319579859
Highly Rural/ Rural,-1.9439261156256955,0.08160212814852719,-2.103863347858631,-1.78398888339276,0.14314085756089187
Highly Urban/ Urban,0.0,0.0,0.0,0.0,1.0
PhD,0.1397336834348344,0.07687034110751098,-0.010929416615195947,0.29039678348486475,1.1499675026777991
Below High Sc,0.47762898376508905,0.05502938589838704,0.3697733693128941,0.5854845982172839,1.612247202517705
Masters,-0.06898881568798831,0.0554408352823062,-0.17765085611412598,0.039673224738149354,0.9333371187533753
High School,0.40339097655769307,0.044823706462766275,0.3155381262370759,0.49124382687831025,1.496892026960976
Bachelors,0.0,0.0,0.0,0.0,1.0
MVR_PTS,0.0809159947094656,0.006531556293049379,0.06811437961209288,0.09371760980683833,1.0842798075005826
Panel Truck,-0.038398228036868834,0.08025097280987846,-0.19568724446853375,0.1188907883947961,0.9623296379327381
Van,-0.038102679979771584,0.06699730239580569,-0.1694149797368898,0.09320961977734664,0.9626140946207563
Sports Car,0.0735396859561318,0.05210708703635672,-0.028588327974421304,0.1756676998866849,1.0763112502653835
Pickup,-0.23437746712010424,0.05029275244550249,-0.33294945059667785,-0.13580548364353062,0.7910631592000648
Minivan,-0.5494653615567826,0.0505851208567508,-0.6486103765896201,-0.45032034652394515,0.5772583524007864
SUV,0.0,0.0,0.0,0.0,1.0
TRAVTIME,0.011963963514998113,0.001008997839996424,0.009986364088126413,0.013941562941869812,1.0120358179953641
Commercial,0.5290381137085567,0.040710470545007524,0.44924705764666323,0.6088291697704501,1.6972989146163882
Private,0.0,0.0,0.0,0.0,1.0
KIDSDRIV,0.21780158134973313,0.028880875909887287,0.1611961047243836,0.2744070579750827,1.2433403412299837
INCOME,-0.004413474255516178,0.0005283386278962856,-0.005448998937834207,-0.0033779495731981494,0.9955962508096172
Yes,0.36863362996543264,0.04219601101530752,0.2859309680841745,0.4513362918466908,1.4457578242889588
No,0.0,0.0,0.0,0.0,1.0
TIF,-0.03742532192588138,0.004210630290869219,-0.04567800564819846,-0.0291726382035643,0.9632663499107842
Yes_PARENT1,0.20361671538612297,0.07248088763832242,0.06155678604751663,0.3456766447247293,1.2258282223064076
No_PARENT1,0.0,0.0,0.0,0.0,1.0
BLUEBOOK,-0.01636858849149423,0.0027076557348508,-0.021675496214335132,-0.01106168076865333,0.9837646488932619
No_MSTATUS,0.24021895529943355,0.04819267356065718,0.1457630508018498,0.3346748597970173,1.2715275275347389
Yes_MSTATUS,0.0,0.0,0.0,0.0,1.0
HOMEKIDS,0.05373000361684965,0.016893871626315258,0.02061862366982864,0.08684138356387067,1.0551996635979481
